Gene,module
dmxl2,magenta
dennd4c,magenta
madd,magenta
chm,magenta
med23,green
thrap3,green
med30,green
med1,green
nr2f1,green
ambra1,orange
wipi2,orange
atg7,orange
hk1,light blue
aldoa,light blue
eno2,light blue
ldha,light blue
slc16a3,light blue
pipox,purple
lonp2,purple
pecr,purple
itpr2,ligth green
stim2,ligth green
ank3,ligth green
oat,brown
pycr1,brown
prodh,brown
trim3,proteome
nrxn1,proteome
dlgap1,proteome
camsap3,proteome2
wiz,proteome2
ehmt,proteome2
